src_ip,dst_ip,protocol,length
142.251.222.74,192.168.73.128,6,26882
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,1466
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,12762
142.251.222.74,192.168.73.128,6,8526
142.251.222.74,192.168.73.128,6,5702
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
142.251.222.74,192.168.73.128,6,1466
192.168.73.128,142.251.222.74,6,54
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,12762
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,21234
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,4290
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,1466
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,1466
142.251.222.74,192.168.73.128,6,26882
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,18410
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,1466
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,11350
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,60770
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,11350
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,12762
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,8526
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,22646
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,1466
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,15586
192.168.73.128,142.251.222.74,6,54
